drink,Volume (ml),Calories,Caffeine (mg),type,Calories (per ml),Caffeine (mg/ml)
Green Cola,354.882,0,37,Soft Drinks,0,0.104260008
IBC Root Beer,354.882,160,0,Soft Drinks,0.450854087,0
Inca Kola,354.882,140,38,Soft Drinks,0.394497326,0.107077846
Kickapoo Soda: Joy Juice & Fruit Shine,354.882,190,40,Soft Drinks,0.535389228,0.112713522
Mello Yello,354.882,170,51,Soft Drinks,0.479032467,0.14370974
Mountain Dew,354.882,170,54,Soft Drinks,0.479032467,0.152163254
Mountain Dew Baja Blast,354.882,170,54,Soft Drinks,0.479032467,0.152163254
Mountain Dew Code Red,354.882,170,54,Soft Drinks,0.479032467,0.152163254
Mountain Dew Live Wire,354.882,180,54,Soft Drinks,0.507210848,0.152163254
Mountain Dew Major Melon,354.882,160,55,Soft Drinks,0.450854087,0.154981092
Mountain Dew Voltage,354.882,170,55,Soft Drinks,0.479032467,0.154981092
Mountain Dew Zero Sugar,354.882,0,68,Soft Drinks,0,0.191612987
Moxie Soda,354.882,140,24,Soft Drinks,0.394497326,0.067628113
Mug Root Beer,354.882,160,0,Soft Drinks,0.450854087,0
Orange Crush,354.882,160,0,Soft Drinks,0.450854087,0
PC Cola,354.882,150,12,Soft Drinks,0.422675706,0.033814057
PC Cola Diet,354.882,0,13,Soft Drinks,0,0.036631895
Pepsi,354.882,150,38,Soft Drinks,0.422675706,0.107077846
Pepsi Caffeine Free,354.882,150,0,Soft Drinks,0.422675706,0
Pepsi Made With Sugar,354.882,150,38,Soft Drinks,0.422675706,0.107077846
Pepsi Zero Sugar,354.882,0,69,Soft Drinks,0,0.194430825
Pibb Xtra,354.882,140,40,Soft Drinks,0.394497326,0.112713522
RC (Royal Crown) Cola,354.882,160,43,Soft Drinks,0.450854087,0.121167036
Ritz Cola,354.882,144,10,Soft Drinks,0.405768678,0.02817838
Ruby Red Squirt,354.882,170,39,Soft Drinks,0.479032467,0.109895684
Sarsaparilla,354.882,170,0,Soft Drinks,0.479032467,0
Shasta Cola,354.882,170,43,Soft Drinks,0.479032467,0.121167036
Shasta Diet Cola,354.882,0,47,Soft Drinks,0,0.132438388
Shasta Mountain Rush,354.882,150,54,Soft Drinks,0.422675706,0.152163254
Ski Soda,354.882,180,69,Soft Drinks,0.507210848,0.194430825
Slurpee,354.882,90,30,Soft Drinks,0.253605424,0.084535141
Sprite,354.882,140,0,Soft Drinks,0.394497326,0
Squirt Soda,354.882,140,0,Soft Drinks,0.394497326,0
Starbucks Refreshers Canned,354.882,90,50,Soft Drinks,0.253605424,0.140891902
Sun Drop Soda,354.882,170,64,Soft Drinks,0.479032467,0.180341635
Sunkist Orange Soda,354.882,160,19,Soft Drinks,0.450854087,0.053538923
Vernors Ginger Ale,354.882,140,0,Soft Drinks,0.394497326,0
Wave Soda,354.882,25,42,Soft Drinks,0.070445951,0.118349198
Wild Cherry Pepsi,354.882,160,38,Soft Drinks,0.450854087,0.107077846
Zevia Cola,354.882,0,45,Soft Drinks,0,0.126802712
Boost Nutritional Drink,236.588,240,5,Soft Drinks,1.014421695,0.021133785
Mucho Mango Energy Drink,236.588,100,0,Soft Drinks,0.422675706,0
Soda Stream,236.588,40,31,Soft Drinks,0.169070283,0.131029469
