drink,Volume (ml),Calories,Caffeine (mg),type,Calories (per ml),Caffeine (mg/ml)
28 Black Energy Drink,250.19181,125,80,Energy Drinks,0.499616674,0.319754671
4 Purpose Energy Drink,250.19181,70,70,Energy Drinks,0.279785337,0.279785337
BEEBAD Energy Drink,250.19181,110,80,Energy Drinks,0.439662673,0.319754671
Black Bruin Energy Drink,250.19181,122,38,Energy Drinks,0.487625874,0.151883469
Blu Frog Energy Drink,250.19181,90,80,Energy Drinks,0.359724005,0.319754671
Blue Bolt (UK),250.19181,112,80,Energy Drinks,0.44765654,0.319754671
Blue Charge (UK),250.19181,49,80,Energy Drinks,0.195849736,0.319754671
Blue Spark (UK),250.19181,56,75,Energy Drinks,0.22382827,0.299770004
Bomb Energy Drink,250.19181,0,80,Energy Drinks,0,0.319754671
Boost Energy (UK),250.19181,58,80,Energy Drinks,0.231822137,0.319754671
Euro Shopper Energy Drink (EU),250.19181,115,80,Energy Drinks,0.45964734,0.319754671
Hell Energy Drink (EU),250.19181,115,80,Energy Drinks,0.45964734,0.319754671
Hype Energy Drink (EU),250.19181,108,80,Energy Drinks,0.431668806,0.319754671
M-150 Energy Drink,250.19181,155,80,Energy Drinks,0.619524676,0.319754671
Pure Cofain 699 (EU),250.19181,148,175,Energy Drinks,0.591546142,0.699463344
Red Bull,250.19181,117,80,Energy Drinks,0.467641207,0.319754671
Red Bull Editions,250.19181,113,80,Energy Drinks,0.451653473,0.319754671
Red Bull Sugarfree,250.19181,10,80,Energy Drinks,0.039969334,0.319754671
Red Bull Zero,250.19181,0,80,Energy Drinks,0,0.319754671
Scheckters Energy Drink,250.19181,78,80,Energy Drinks,0.311760805,0.319754671
Slammers Energy Drink (EU),250.19181,122,80,Energy Drinks,0.487625874,0.319754671
Source 1899 (UK),250.19181,58,80,Energy Drinks,0.231822137,0.319754671
Taurus Energy Drink,250.19181,180,50,Energy Drinks,0.719448011,0.19984667
TENZING Natural Energy,250.19181,50,80,Energy Drinks,0.19984667,0.319754671
Tiger Energy Drink,250.19181,0,80,Energy Drinks,0,0.319754671
Tweaker Energy Drink,250.19181,110,80,Energy Drinks,0.439662673,0.319754671
Virtue Clean Energy Beverage,250.19181,8,80,Energy Drinks,0.031975467,0.319754671
Wildcat Energy Drink (UK),250.19181,115,80,Energy Drinks,0.45964734,0.319754671
X Ray Energy Drink,250.19181,125,79,Energy Drinks,0.499616674,0.315757738
OK Energy Drink,249.896075,113,80,Energy Drinks,0.452187975,0.320133079
Power Horse Energy Drink (EU),249.896075,125,80,Energy Drinks,0.500207936,0.320133079
V Energy Drink,249.896075,116,78,Energy Drinks,0.464192965,0.312129752
XL Energy Drink (EU),249.896075,118,80,Energy Drinks,0.472196292,0.320133079
Crave Energy Drink (UK),249.304605,10,80,Energy Drinks,0.040111574,0.320892588
Bomba (EU),248.4174,123,80,Energy Drinks,0.495134399,0.322038633
Cintron Energy Drink,248.4174,60,85,Energy Drinks,0.241528975,0.342166048
Dutch Bros Blue Rebel Energy Drink,248.4174,116,80,Energy Drinks,0.466956018,0.322038633
XS Energy Drink,248.4174,10,80,Energy Drinks,0.040254829,0.322038633
Wild Tiger Energy Drink,247.23446,125,75,Energy Drinks,0.50559295,0.30335577
Liquid Ice Energy Drink,245.46005,120,80,Energy Drinks,0.488877925,0.325918617
Rush! Energy Drink,245.46005,120,80,Energy Drinks,0.488877925,0.325918617
Monster Hydro,751.1669,150,188,Energy Drinks,0.19968931,0.250277269
Monster Import,550.0671,190,179,Energy Drinks,0.345412405,0.325414845
Moose Juice Energy Drink,500.97509,0,200,Energy Drinks,0,0.399221446
Club Mate (EU),500.087885,160,100,Energy Drinks,0.319943763,0.199964852
Demon Energy Drink,500.087885,253,160,Energy Drinks,0.505911076,0.319943763
LevlUp Gaming Booster,500.087885,8,250,Energy Drinks,0.015997188,0.49991213
Monster Ripper Energy Juice (UK),500.087885,185,160,Energy Drinks,0.369934977,0.319943763
Monster The Doctor VR46 (UK),500.087885,219,160,Energy Drinks,0.437923026,0.319943763
Mother Energy Drink,500.087885,228,160,Energy Drinks,0.455919863,0.319943763
Protein2O + Energy,500.087885,70,125,Energy Drinks,0.139975397,0.249956065
Strike Force Energy Drink Mix,500.087885,0,160,Energy Drinks,0,0.319943763
4C Energy Drink Mix,499.79215,15,170,Energy Drinks,0.030012476,0.340141397
Arizona Arnold Palmer Half and Half,499.79215,180,15,Energy Drinks,0.360149714,0.030012476
Gatorade Bolt 24 Energize,499.79215,40,75,Energy Drinks,0.08003327,0.150062381
Live+ Energy Drink,499.79215,227,150,Energy Drinks,0.454188806,0.300124762
Pure Kick Energy Drink Mix,499.79215,10,80,Energy Drinks,0.020008317,0.16006654
Monster Dragon Tea,458.38925,40,155,Energy Drinks,0.087262081,0.338140565
Monster Rehab,458.38925,25,170,Energy Drinks,0.054538801,0.370863846
Neuro Sonic,428.81575,35,100,Energy Drinks,0.081620136,0.23320039
Lucozade,380.019475,133,46,Energy Drinks,0.349982063,0.121046428
Fakeer Energy Drink (EU),370.26022,148,118,Energy Drinks,0.399718879,0.318694782
Arizona Energy Drink Rx,340.09525,130,127,Energy Drinks,0.382245856,0.373424798
Bai Boost,339.208045,10,110,Energy Drinks,0.029480433,0.324284762
NOCCO Energy Drink (EU),330.335995,0,180,Energy Drinks,0,0.544899747
Carabao Energy Drink (UK),330.04026,63,106,Energy Drinks,0.190885803,0.321172938
Irn Bru (UK),330.04026,65,30,Energy Drinks,0.19694567,0.090898001
Soylent Stacked,330.04026,180,100,Energy Drinks,0.545388008,0.302993338
Red Eye Energy Drink,328.26585,149,106,Energy Drinks,0.453900398,0.322909008
Mega Monster Energy Drink,709.764,320,240,Energy Drinks,0.450854087,0.338140565
Amino Force Energy Drink,650.617,0,200,Energy Drinks,0,0.307400514
Bodyarmour Edge,591.47,180,100,Energy Drinks,0.304326509,0.169070283
SoBe Energy Citrus,591.47,250,81,Energy Drinks,0.422675706,0.136946929
ABB Turbo Tea Zero,532.323,0,120,Energy Drinks,0,0.225427043
Bai Antioxidant Infusion,532.323,10,55,Energy Drinks,0.018785587,0.103320728
Viso Energy Drink,502.7495,140,300,Energy Drinks,0.278468701,0.596718644
3D Energy Drink,473.176,15,200,Energy Drinks,0.031700678,0.422675706
Adrenaline Shoc,473.176,10,300,Energy Drinks,0.021133785,0.634013559
Alsa Energy Drink Mix,473.176,30,100,Energy Drinks,0.063401356,0.211337853
Bang Energy,473.176,0,300,Energy Drinks,0,0.634013559
Bang Keto Coffee,473.176,130,300,Energy Drinks,0.274739209,0.634013559
Bang Natural,473.176,0,250,Energy Drinks,0,0.528344633
Bang Sweet Tea,473.176,0,300,Energy Drinks,0,0.634013559
Beaver Buzz Energy Drink,473.176,240,178,Energy Drinks,0.507210848,0.376181379
Berzerk Energy Drink Mix,473.176,5,200,Energy Drinks,0.010566893,0.422675706
C4 Energy Drink,473.176,0,200,Energy Drinks,0,0.422675706
C4 Smart Energy Drink,473.176,0,200,Energy Drinks,0,0.422675706
C4 Ultimate Energy Drink,473.176,0,300,Energy Drinks,0,0.634013559
Celsius Heat Energy Drink,473.176,15,300,Energy Drinks,0.031700678,0.634013559
Crunk Energy Drink,473.176,200,192,Energy Drinks,0.422675706,0.405768678
Crystal Light Energy Mix,473.176,10,60,Energy Drinks,0.021133785,0.126802712
Electric Monkey Wild Energy Drink,473.176,220,160,Energy Drinks,0.464943277,0.338140565
Full Throttle Energy Drink,473.176,220,160,Energy Drinks,0.464943277,0.338140565
GFuel Cans,473.176,0,300,Energy Drinks,0,0.634013559
GFuel Energy Drink Mix,473.176,15,140,Energy Drinks,0.031700678,0.295872994
Go Fast Energy Drink,473.176,200,160,Energy Drinks,0.422675706,0.338140565
Go Fast High Octane Energy Drink,473.176,0,300,Energy Drinks,0,0.634013559
Great Value Energy Drink Mix,473.176,10,120,Energy Drinks,0.021133785,0.253605424
Gridlock Energy Drink,473.176,200,140,Energy Drinks,0.422675706,0.295872994
Hi Ball Energy Drink,473.176,0,160,Energy Drinks,0,0.338140565
Joker Mad Energy,473.176,260,160,Energy Drinks,0.549478418,0.338140565
Liquid Help Energy Drink,473.176,0,300,Energy Drinks,0,0.634013559
Loud Energy Drink,473.176,10,320,Energy Drinks,0.021133785,0.67628113
Monster Assault,473.176,210,160,Energy Drinks,0.443809492,0.338140565
Monster Energy,473.176,210,160,Energy Drinks,0.443809492,0.338140565
Monster Juice,473.176,160,160,Energy Drinks,0.338140565,0.338140565
Monster Lo-Carb,473.176,30,140,Energy Drinks,0.063401356,0.295872994
Monster Mango Loco,473.176,240,152,Energy Drinks,0.507210848,0.321233537
Monster Mule,473.176,210,160,Energy Drinks,0.443809492,0.338140565
Monster Pipeline Punch,473.176,190,160,Energy Drinks,0.401541921,0.338140565
Monster Ultra,473.176,10,150,Energy Drinks,0.021133785,0.31700678
Monster Zero Sugar,473.176,10,140,Energy Drinks,0.021133785,0.295872994
Mountain Dew Amp,473.176,220,142,Energy Drinks,0.464943277,0.300099751
Mountain Dew Game Fuel,473.176,90,90,Energy Drinks,0.190204068,0.190204068
Mountain Dew Rise,473.176,25,180,Energy Drinks,0.052834463,0.380408136
NOS Energy Drink,473.176,200,160,Energy Drinks,0.422675706,0.338140565
Nuun Sport,473.176,15,40,Energy Drinks,0.031700678,0.084535141
Propel Zero Powder,473.176,0,0,Energy Drinks,0,0
Pure Boost Energy Drink Mix,473.176,25,100,Energy Drinks,0.052834463,0.211337853
Quake Energy Berry Blast Slurpee,473.176,5,92,Energy Drinks,0.010566893,0.194430825
Quake Energy Drink,473.176,0,250,Energy Drinks,0,0.528344633
Raze Energy Drink,473.176,0,300,Energy Drinks,0,0.634013559
Reign Total Body Fuel,473.176,0,300,Energy Drinks,0,0.634013559
Rip It Energy Drink,473.176,260,160,Energy Drinks,0.549478418,0.338140565
Rockstar Boom,473.176,280,160,Energy Drinks,0.591745989,0.338140565
Rockstar Energy Drink (Original),473.176,250,160,Energy Drinks,0.528344633,0.338140565
Rockstar Halo Infinite,473.176,250,240,Energy Drinks,0.528344633,0.507210848
Rockstar Juiced,473.176,30,170,Energy Drinks,0.063401356,0.35927435
Rockstar Punched,473.176,260,240,Energy Drinks,0.549478418,0.507210848
Rockstar Pure Zero,473.176,20,240,Energy Drinks,0.042267571,0.507210848
Rockstar Recovery,473.176,25,160,Energy Drinks,0.052834463,0.338140565
Rockstar Sugar Free,473.176,25,160,Energy Drinks,0.052834463,0.338140565
Rockstar Thermo,473.176,0,300,Energy Drinks,0,0.634013559
Rockstar XDurance,473.176,10,300,Energy Drinks,0.021133785,0.634013559
Rockstar Zero Carb,473.176,25,240,Energy Drinks,0.052834463,0.507210848
Rogue Energy Drink Mix,473.176,5,175,Energy Drinks,0.010566893,0.369841243
Rowdy Energy Drink,473.176,5,160,Energy Drinks,0.010566893,0.338140565
Sneak Energy Drink Mix,473.176,12,150,Energy Drinks,0.025360542,0.31700678
Solimo Energy Drink,473.176,10,152,Energy Drinks,0.021133785,0.321233537
Speed Energy Fuel,473.176,240,186,Energy Drinks,0.507210848,0.393088407
Spider Energy Drink,473.176,120,240,Energy Drinks,0.253605424,0.507210848
Spike Hardcore Energy,473.176,0,350,Energy Drinks,0,0.739682486
Triton Energy Drink,473.176,15,200,Energy Drinks,0.031700678,0.422675706
True Lemon Energy Mix,473.176,0,120,Energy Drinks,0,0.253605424
Ugly Energy Water,473.176,0,160,Energy Drinks,0,0.338140565
Venom Death Adder,473.176,160,160,Energy Drinks,0.338140565,0.338140565
Wired X 3000 Energy Drink,473.176,220,185,Energy Drinks,0.464943277,0.390975028
Wired X Berry Rush,473.176,220,95,Energy Drinks,0.464943277,0.20077096
Wired X344 Energy Drink,473.176,220,344,Energy Drinks,0.464943277,0.727002215
Xyience Energy Drink,473.176,15,160,Energy Drinks,0.031700678,0.338140565
ZipFizz Energy Drink Mix,473.176,20,100,Energy Drinks,0.042267571,0.211337853
Zoa Energy Drink,473.176,100,160,Energy Drinks,0.211337853,0.338140565
Java Monster,443.6025,220,200,Energy Drinks,0.495939495,0.450854087
Java Monster 300,443.6025,200,300,Energy Drinks,0.450854087,0.67628113
Muscle Monster,443.6025,180,157,Energy Drinks,0.405768678,0.353920458
Rockstar Organic Energy Drink,443.6025,180,160,Energy Drinks,0.405768678,0.360683269
Starbucks Triple Shot Energy,443.6025,210,225,Energy Drinks,0.473396791,0.507210848
Alani Nu Energy Drink,354.882,10,200,Energy Drinks,0.02817838,0.563567608
ALL IN Energy Drink,354.882,25,75,Energy Drinks,0.070445951,0.211337853
AXIO Energy Drink Mix,354.882,0,100,Energy Drinks,0,0.281783804
Bing Energy Drink,354.882,40,120,Energy Drinks,0.112713522,0.338140565
BreinFuel,354.882,110,360,Energy Drinks,0.309962185,1.014421695
Burn Energy Drink,354.882,163,112,Energy Drinks,0.459307601,0.315597861
C4 On The Go,354.882,0,200,Energy Drinks,0,0.563567608
Celsius Energy Drink,354.882,10,200,Energy Drinks,0.02817838,0.563567608
Celsius Stevia,354.882,15,200,Energy Drinks,0.042267571,0.563567608
Coca-Cola Cherry Vanilla,354.882,140,34,Energy Drinks,0.394497326,0.095806493
Coca-Cola Energy,354.882,140,114,Energy Drinks,0.394497326,0.321233537
Cocaine Energy Drink,354.882,90,280,Energy Drinks,0.253605424,0.788994652
Dark Dog Organic Energy,354.882,110,114,Energy Drinks,0.309962185,0.321233537
Duff Energy Drink,354.882,170,120,Energy Drinks,0.479032467,0.338140565
EBOOST Super Fuel,354.882,20,110,Energy Drinks,0.056356761,0.309962185
EnerBee Energy Drink,354.882,80,100,Energy Drinks,0.225427043,0.281783804
Go Girl Energy Drink,354.882,25,100,Energy Drinks,0.070445951,0.281783804
GURU Energy Drink,354.882,115,140,Energy Drinks,0.324051375,0.394497326
Hyde Xtreme,354.882,0,400,Energy Drinks,0,1.127135217
Java Kick Coffee Cola,354.882,130,100,Energy Drinks,0.366318945,0.281783804
Kill Cliff Energy X Recover,354.882,20,25,Energy Drinks,0.056356761,0.070445951
Kill Cliff Ignite,354.882,25,150,Energy Drinks,0.070445951,0.422675706
Kona Gold Energy Drink,354.882,150,115,Energy Drinks,0.422675706,0.324051375
Marquis Energy Drink,354.882,0,100,Energy Drinks,0,0.281783804
MATI Energy Drink,354.882,90,110,Energy Drinks,0.253605424,0.309962185
Meltdown Ketone Drink,354.882,18,225,Energy Drinks,0.050721085,0.634013559
Monster Maxx,354.882,160,200,Energy Drinks,0.450854087,0.563567608
Nerd Focus,354.882,170,128,Energy Drinks,0.479032467,0.360683269
Octane Energy Drink Mix,354.882,25,225,Energy Drinks,0.070445951,0.634013559
Red Power Elixir,354.882,160,160,Energy Drinks,0.450854087,0.450854087
Red Thunder Energy Drink,354.882,156,120,Energy Drinks,0.439582735,0.338140565
RootJack Caffeinated Pirate Root Beer,354.882,200,120,Energy Drinks,0.563567608,0.338140565
Runa,354.882,0,150,Energy Drinks,0,0.422675706
Sambazon Amazon Energy Drink,354.882,120,120,Energy Drinks,0.338140565,0.338140565
Spike Shooter,354.882,10,300,Energy Drinks,0.02817838,0.845351413
Steaz Energy,354.882,140,100,Energy Drinks,0.394497326,0.281783804
T-Virus Antidote,354.882,160,100,Energy Drinks,0.450854087,0.281783804
Tru Energy Wakeup,354.882,10,100,Energy Drinks,0.02817838,0.281783804
UPTIME Energy Drink,354.882,150,142,Energy Drinks,0.422675706,0.400133002
USANA Rev3 Energy Drink,354.882,105,120,Energy Drinks,0.295872994,0.338140565
Xtreme Shock Energy Drink,354.882,20,200,Energy Drinks,0.056356761,0.563567608
Zest Sparkling Tea,354.882,60,135,Energy Drinks,0.169070283,0.380408136
Zevia Energy Drink,354.882,0,120,Energy Drinks,0,0.338140565
Cran Energy Juice,295.735,40,70,Energy Drinks,0.135256226,0.236698396
Mamma Chia Energy,295.735,110,90,Energy Drinks,0.371954622,0.304326509
Oikos Pro Fuel,295.735,130,100,Energy Drinks,0.439582735,0.338140565
Advocare Slim,236.588,0,120,Energy Drinks,0,0.507210848
Arbonne Energy Fizz Stck,236.588,15,55,Energy Drinks,0.063401356,0.232471638
Berocca,236.588,5,90,Energy Drinks,0.021133785,0.380408136
Best Choice Strawberry Energy Drink Mix,236.588,5,120,Energy Drinks,0.021133785,0.507210848
EBOOST Energy Drink Mix,236.588,5,110,Energy Drinks,0.021133785,0.464943277
EBOOST Workout Crusher Mix,236.588,40,175,Energy Drinks,0.169070283,0.739682486
Great Value Energy Drink Enhancers,236.588,0,50,Energy Drinks,0,0.211337853
Kin Spritz,236.588,25,50,Energy Drinks,0.105668927,0.211337853
LYFT Energy Mix,236.588,4,125,Energy Drinks,0.016907028,0.528344633
PerformElite Pre-Workout,236.588,0,225,Energy Drinks,0,0.951020339
Perk Energy Beverage,236.588,90,100,Energy Drinks,0.380408136,0.422675706
Redline Princess,236.588,0,300,Energy Drinks,0,1.268027119
Redline Xtreme Energy Drink,236.588,0,316,Energy Drinks,0,1.335655232
Roaring Lion Energy Drink,236.588,100,77,Energy Drinks,0.422675706,0.325460294
Spark Energy Drink Mix,236.588,15,120,Energy Drinks,0.063401356,0.507210848
V8 +Energy Drink,236.588,140,80,Energy Drinks,0.591745989,0.338140565
Spike Energy Double Shot,125.98311,0,350,Energy Shots,0,2.778150182
Zombie Blood Energy Potion,100.5499,25,80,Energy Shots,0.248632768,0.795624859
Proper Wild Energy Shot,73.93375,25,180,Energy Shots,0.338140565,2.434612068
Redline Max 300,73.93375,0,300,Energy Shots,0,4.05768678
5 Hour Energy,57.076855,4,200,Energy Shots,0.070080946,3.504047306
5 Hour Energy Extra Strength,57.076855,0,230,Energy Shots,0,4.029654402
E6 Energy Shot,57.076855,0,235,Energy Shots,0,4.117255585
Eternal Energy Extra Strength,57.076855,0,280,Energy Shots,0,4.905666228
Eternal Energy Shot,57.076855,0,230,Energy Shots,0,4.029654402
